"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
106926558692;;;;Морепродукты;"1Лосось филе с/м Трим - С NEW 2,1-2,8 кг.";"1Лосось филе с/м Трим - С NEW 2,1-2,8 кг.";;;2160.00;0;;;;65d3ee82-1147-11f0-8125-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/106926558692-1losos-file-sm-trim-s-new-21-28-kg
221801142922;;;;Морепродукты;"Лосось с/м (7-8)";"Лосось с/м (7-8)";;;1560.00;0;;;;f16d94cf-d880-11e8-967f-646e69a2704e;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/221801142922-losos-sm-7-8
818227450942;;;;;"Лакоминка Йогурт греческий 3кг";"Лакоминка Йогурт греческий 3кг";;;680.00;0;;;;73e8950b-98e3-11eb-bd65-d45d64a8ba3c;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/818227450942-lakominka-iogurt-grecheskii-3kg
689948957382;;;;;"Бутылка ПЭТ КВАДРАТ 1л горло 38мм (ф80)";"Бутылка ПЭТ КВАДРАТ 1л горло 38мм (ф80)";;;;57;;;;1f381dbf-a27d-11f0-813c-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/689948957382-butilka-pet-kvadrat-1l-gorlo-38mm-f80
114956979172;;;;;Фенхель;Фенхель;;;460.00;4;;;;556550de-b033-11e9-968a-9829a63c43dd;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/114956979172-fenhel
646349391282;;;;Товары;"Горошек зеленый 1/с ГОСТ 3100х4 ""Русская Классика""(4шт/уп)";"Горошек зеленый 1/с ГОСТ 3100х4 ""Русская Классика""(4шт/уп)";;;485.00;1;;;;7e735408-8b48-11ee-80fd-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/646349391282-goroshek-zelenii-1s-gost-3100h4-russkaya
937917863242;;;;Товары;"Чеснок сушеный порошок";"Чеснок сушеный порошок";;;360.00;19;;;;5eb36da9-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/937917863242-chesnok-sushenii-poroshok
555334726962;;;;;"Водоросли нори MANESK 100 л.280гр сушеные Китай";"Водоросли нори MANESK 100 л.280гр сушеные Китай";;;930.00;0;;;;ac399b3a-3f89-11f0-812d-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/555334726962-vodorosli-nori-manesk-100-l280gr-susheni
982890281862;;;;;"Креветка с/м б/г 16/20 6*1,8 НЕЧЕСТНАЯ (6шт/упак)";"Креветка с/м б/г 16/20 6*1,8 НЕЧЕСТНАЯ (6шт/упак)";;;1730.00;0;;;;6b8e27a4-a409-11f0-813c-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/982890281862-krevetka-sm-bg-1620-618-nechestnaya-6sht
827395720362;;;;;"Креветка коктейльная 1КГ 200/300 в/м, Бангладеш, 7%(10шт/уп)";"Креветка коктейльная 1КГ 200/300 в/м, Бангладеш, 7%(10шт/уп)";;;860.00;0;;;;48db22f7-a410-11f0-813c-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/827395720362-krevetka-kokteilnaya-1kg-200300-vm-bangl
368195947052;;;;;"Сухари панировочные панко ""KANESHIRO"", Малайзия, 1 кг (10кг/упак)";"Сухари панировочные панко ""KANESHIRO"", Малайзия, 1 кг (10кг/упак)";;;260.00;0;;;;c3c78fcf-a411-11f0-813c-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/368195947052-suhari-panirovochnie-panko-kaneshiro-mal
834889437922;;;;;"Лакедра (желтохвост) рыба н/р 800/1500";"Лакедра (желтохвост) рыба н/р 800/1500";;;;0;;;;f42c36cc-a441-11f0-813c-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/834889437922-lakedra-zheltohvost-riba-nr-8001500
387272175432;;;;Товары;"Кардамон целый";"<br />Кардамон целый";;;4900.00;0;;;;13f19441-d581-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/387272175432-kardamon-tselii
746429341152;;;;;"Форель с/м б/г потр. 1,8-2,7 Premium Турция";"Форель с/м б/г потр. 1,8-2,7 Premium Турция";;;1000.00;0;;;;7834f0c3-5c93-11ec-bd80-d45d64a8ba3c;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/746429341152-forel-sm-bg-potr-18-27-premium-turtsiya
